State,County_FIPS,Nearby_Station_Identifiers_(USAF_WBAN),County_Name
PA,42049,7251044843|72510499999|72526014860|72526599999|72526794868|72526799999|99425099999|99999914812|99999914860|99999994868,Erie County
IN,18141,72026654809|72026699999|720593187|72059399999|720736265|721029347|72438814829|72438899999|7253274846|72532799999|72535014848|7253544806|72535499999|726358384|72635899999|99733999999|99778799999|99999914829|99999914848,St. Joseph County
WA,53035,720388469|72038899999|72665699999|72792024227|72792594227|72792599999|72792894263|72792899999|72793024233|72793399999|72793494248|72793499999|72793524234|72793599999|72793724222|72793799999|72793894274|72793899999|72793999999|7279454205|72794599999|72796499999|72796599999|72797399999|72797999999|72799699999|74200499999|74201024228|74201599999|74206024207|74206099999|74206599999|74206699999|74207024201|74207099999|74207124201|74207199999|74207599999|74207699999|74918599999|99401499999|99402599999|99404899999|99418099999|99435099999|99825699999|99999924207|99999924227|99999924228|99999924233|99999924234|99999924244|99999924253|99999924281|99999994274|99999994290|99999994297|A0002694297,Kitsap County
FL,12001,69180499999|72039999999|72205512861|72205599999|72206763823|72206793832|72206799999|72212012833|72214612816|74756012816|749048415|74904899999|74905199999|74905399999|99999912833|99999993832,Alachua County
CT,9011,720545169|72054599999|72502754788|72502799999|72504514758|72504599999|72504614707|72504699999|72504799999|72504899999|72504999999|72505499999|72508014740|72508454767|72508499999|72508714752|72508799999|72508999999|99475099999|99718599999|99727899999|99728299999|99728399999|99728499999|99728599999|99728899999|99815599999|99999914707|99999914740|99999914752|99999914758|99999994772,New London County
NJ,34001,720407462|72040799999|72407093730|72407493780|72407499999|72407513735|72407613724|72409014780|72409614706|72409699999|72502499999|74590099999|74596099999|74596513756|7459663726|74596699999|99720999999|99721099999|99721299999|99727099999|99727699999|99728699999|99737299999|99768799999|99768999999|99769899999|99777999999|99800299999|99834299999|99999913724|99999913735|99999913753|99999913756|99999913775|99999914780|99999993730,Atlantic County
IL,17119,72297263878|72297299999|7243373838|72433813802|72433899999|72439499999|7243953958|72439599999|7253143960|72531499999|74465363814|74465399999|74465753887|74465799999|9999993838,Madison County
MI,26077,7202844877|72028499999|72037154850|72234354826|72234399999|72538354827|72538399999|7253944839|72539499999|72539614815|72539699999|7254144886|72541499999|72541554821|72541599999|72635094860|72635594871|72635599999|72635699999|72635794815|72635799999|99734399999|99801299999|99840799999|99999914815|99999914830|99999994860,Kalamazoo County
WI,55009,720589185|72058999999|7264254841|72642599999|72645014898|72645499999|72645594897|72645599999|72645694855|72645699999|7264574825|72645799999|7264584824|72645899999|72645999999|72650254832|72650299999|99406299999|99497299999|99497699999|99774199999|99999914831|99999914898|A07056464,Brown County
IL,17163,72297263878|72433813802|72433899999|72439499999|7243953958|72439599999|7253143960|72531499999|74465363814|74465399999|74465753887|74465799999,St. Clair County
NC,37021,72314453890|72314499999|7231503812|72315599999|74908299999|9999993812|99999953877|99999953878,Buncombe County
CA,6041,720406135|72040699999|720646228|72093599999|72482893241|72482899999|72493023230|72493099999|72493593228|72493599999|72493623254|72493893231|72493899999|72493999999|72494023234|72494399999|72494799999|72495023250|72495023254|72495399999|72495593227|72495599999|72495623211|72495723213|72495799999|72495899999|72495999999|72499599999|72585093228|74012499999|74013499999|74016499999|74503999999|74504099999|74504599999|74506023239|74506599999|74509799999|74516023202|74516099999|74917599999|99248099999|99249099999|99264099999|99401699999|99402299999|99403399999|99403499999|99403699999|99404199999|99731999999|99773499999|99801199999|99816399999|99819799999|99847499999|99847599999|99847699999|99847799999|99847899999|99847999999|99849699999|99999923202|99999923230|99999923234|99999923239|99999923246|99999923250|99999923254|99999923272|99999993211|99999993228|99999993245|A07049320,Marin County
MN,27163,72058399999|72200354930|72200399999|72211454901|72211499999|7265624943|72656299999|7265644967|72656499999|72657399999|72657594960|72657599999|72657794974|72657799999|72657994963|72657999999|72658014922|72658414927|72658499999|7266034974|72660399999|7266794969|72667999999|7275034909|72750399999|99999914922|99999914927|99999914947,Washington County
LA,22103,72046699999|720467148|72231012916|7223123908|72231299999|72231553917|72231599999|72231612958|72233053865|72233099999|72236653865|72236699999|99476099999|99736599999|99819499999|99821899999|999999483|99999912930|99999912958|99999993906,St. Tammany Parish
MD,24021,72033493764|72033499999|7206993724|72069999999|72208113730|72208199999|722244358|72224499999|7228233749|72282399999|72406093721|72406499999|72406593733|72406599999|72406693706|72406699999|74594493784|74907099999|99729699999|99731499999|99999913710|99999913725|99999913730|99999913749|99999913751|99999913777|99999993721,Frederick County
FL,12109,69180499999|72039999999|720672485|720946326|72206013889|72206593837|7220663853|72206763823|72206793832|72206799999|72206853860|72206899999|72221292814|72221299999|72234192822|72234199999|74782053860|749048415|74904899999|99415099999|99441099999|99735899999|99800099999|9999993853|99999913889|99999953894|99999963890|99999993832|99999993837|A0002363890,St. Johns County
UT,49057,72056724180|72479694128|72479699999|72572024127|72572399999|72575024126|72575099999|72575524101|72575599999|9999994138|99999924101|99999924120|99999924126|A000284116,Weber County
TX,48309,72029553972|72029599999|720779461|721034351|722323362|72232399999|72256013959|72256199999|72256353952|72256399999|7225703933|72257099999|7225723933|7225753972|72257599999|72257793984|72257799999|74901799999|99999913928|99999913959,McLennan County
GA,13057,720714252|722109355|72210999999|72215453885|72215499999|72215653873|72215699999|72218553838|72218599999|72219013874|7221953888|72219599999|72219653863|72219699999|72227013864|72227099999|72227399999|72320093801|72320099999|74780863803|74780899999|7478093832|74780999999|74781263813|74781299999|99999913864|99999913874|99999993801|99999993830|A0001163848,Cherokee County
MD,24025,69117499999|720384124|72038499999|7206993724|72069999999|72215813752|72215899999|72404799999|72405713701|72405799999|72406093721|72406593733|72406599999|72406793744|72406799999|72406999999|72529199999|74002099999|74594493784|74594599999|99440099999|99729699999|99730099999|99730299999|99731299999|99737299999|99840999999|99999913725|99999913752|99999913777|99999993721,Harford County
TX,48245,720926313|72241012917|72241499999|72241599999|72245399999|72362953998|72362999999|99225099999|99426099999|99451099999|99697099999|99733799999|99736899999|99772999999|99818299999|99822599999|99849099999|99999912917,Jefferson County
PA,42041,72282693762|72282699999|72399014711|72510514770|72510599999|72511014751|72511114751|72511199999|72511493778|72511499999|72511514711|72511814751|72511899999|72514454723|72514499999|72520399999|99999914751,Cumberland County
WA,53077,72056299999|72781024243|72781399999|72788324220|72788399999|99999924220|99999924243,Yakima County
MO,29047,72030653879|72030699999|72040299999|72047899999|721045354|72104599999|722367363|72236799999|7244603947|72446113988|72446313988|72446399999|7244663929|72446699999|72449013993|72449099999|9999993929|9999993947|99999913988|99999913993,Clay County
VA,51710,7202973730|72029799999|720499154|72212199999|72307513769|72307699999|72307799999|72308013737|72308313763|72308399999|72308513750|72308693741|72308699999|72308793735|72308799999|72308899999|7240063701|72400699999|7240073719|72400799999|72401993773|72401999999|72402599999|72402899999|72517213762|74598013702|74598099999|99235099999|99371199999|99402099999|99729999999|99730599999|99730899999|99731599999|99737199999|99769199999|99769399999|99770899999|99778299999|99778399999|99778699999|99785299999|99801799999|99824599999|9999993739|99999913737|99999913750|99999913759|99999913762|99999913763|99999913769|99999993731|99999993735,Norfolk City
LA,22055,720468466|720587184|72058799999|720967457|7223143934|72231453915|72231499999|72240513976|72240899999|72525799999|74799499999|99828299999|9999993934|99999913976|99999953960,Lafayette Parish
LA,22017,720739268|72248013957|72248453905|72248499999|72248513944|72248599999|99999913944|99999913957,Caddo Parish
VA,51550,7202973730|72029799999|720499154|72212199999|72307513769|72307699999|72307799999|72308013737|72308313763|72308399999|72308513750|72308693741|72308699999|72308793735|72308799999|7240063701|72400699999|7240073719|72400799999|72401993773|72401999999|72402899999|72517213762|74598013702|74598099999|99235099999|99371199999|99402099999|99729999999|99730599999|99731599999|99737199999|99769199999|99769399999|99770899999|99778299999|99778399999|99778699999|99785299999|99824599999|9999993739|99999913737|99999913750|99999913759|99999913762|99999913763|99999913769|99999993731|99999993735,Chesapeake City
GA,13117,72040999999|72089799999|722109355|72210999999|72215653873|72215699999|72218553838|72218599999|72219013874|7221953888|72219599999|72219653863|72219699999|72227013864|72227099999|72227399999|72311013873|74780863803|74780899999|7478093832|74780999999|74781263813|74781299999|749483394|74948399999|99999913864|99999913873|99999913874|99999993830|A0001163848,Forsyth County
VA,51013,7203173735|72031799999|722692367|72269299999|72309893798|72309899999|72403093738|7240333706|72403399999|72403513773|7240363710|72403699999|72403793728|72403799999|72405013743|7240553714|72405599999|99440099999|99729699999|99731499999|99999913743|99999913760|99999913773|99999993734,Arlington County
AR,5143,7234343973|72343499999|72343653922|72343699999|72344013964|72344353955|72344399999|7234443978|72344499999|72344593993|72344599999|72344953954|72344999999|99999993993,Washington County
NC,37179,72103899999|7220433738|72204399999|72212853899|72212899999|72213263801|72213299999|72214863824|72214899999|7222433738|72314013881|72314753870|72314799999|72315663812|72315699999|72319453872|72319499999|725294383|72529499999|99999913881,Union County
MS,28049,720787278|720932317|7223503940|72235413927|72235499999|72235593999|9999993940|99999913956|99999913979|99999993999,Hinds County
OH,39165,72224963887|72427653859|72427699999|72429093815|7242953867|72429563888|72429599999|72429613841|72429699999|72429793812|72521753855|72521799999|74570013840|74570099999|999999458|9999993867|99999993815,Warren County
AZ,4025,72372123184|72372323184|723756375|72375699999|72378799999|99999923184|99999953160,Yavapai County
TN,47187,72077599999|723249463|72327013897|72327199999|72327313827|72327399999|74908399999|99999913897,Williamson County
NC,37129,72027493799|72027499999|7202793705|72027999999|7221913721|72219199999|72301113748|72301313748|72301599999|72301699999|72302013748|72302099999|72306993753|72306999999|72309693727|74906999999|99707799999|99731099999|99738999999|99743399999|99743499999|99769599999|99779499999|99798399999|99800699999|99999913748|99999993727,New Hanover County
DE,10005,72404699999|72408399999|72408813707|72408899999|72409313764|72409399999|99240099999|99721099999|99727699999|99728199999|99768999999|99785399999|99815499999|99816999999,Sussex County
TX,48423,72029853971|72029899999|72031493983|72031499999|720577175|72057799999|72104399999|72204253978|72204299999|72211253982|72211299999|7224473901|72244813972|72244899999|7224703901|72247099999|74948899999|999999447|9999993901|99999913972|99999953968|99999993983,Smith County
GA,13151,72089799999|720966339|72215099999|72217653884|72217699999|72219013874|7221953888|72219599999|72219653863|72219699999|72219753819|72219799999|72227013864|72227099999|72227399999|74780663809|74780699999|74780863803|74780899999|7478093832|74780999999|74781263813|74781299999|99999913864|99999913874|99999963850|99999993830,Henry County
OH,39085,72430314813|72430399999|72524014820|72524399999|7252444809|72524499999|7252454853|72524599999|7252474805|72524799999|72524899999|72525014852|725253380|72525399999|72525599999|7252564857|72525699999|99769299999|99799999999|99816699999|99828199999|99999914813|99999914820|99999914843|99999914852|99999914896,Lake County
NY,36091,72518014735|72518514750|72522014750|7449944741|74499499999|9999994741|9999994782|99999914735|99999914749|99999914750,Saratoga County
VA,51760,7202853734|72028599999|7202973730|72029799999|720498153|720501155|72050199999|72308493775|72308499999|7231143715|72311499999|72401013740|72401493714|72401499999|72401513726|72401599999|72401993773|72401999999|72402993775|72402999999|99801799999|99999913726|99999913740,Richmond City
NY,36065,72514654773|72514699999|72519014771|72519614717|72519664775|72519794794|99999914749|99999914771|99999914774|99999994794,Oneida County
OH,39099,72430314813|72430399999|72521014895|72525014852|725253380|72525399999|99999914813|99999914823|99999914852|99999914895|99999914896,Mahoning County
AL,1101,72026563833|72036263874|72226013895|72226513821|72226599999|72226613850|72226699999|7222673878|72226799999|72228899999|74907399999|74908999999|9999993878|99999913895|99999923801|99999963891|99999963897|99999973802,Montgomery County
TX,48041,72030353973|72030399999|721034351|7224453904|72244753903|72244799999|72255353928|72255399999|72376123901|72376199999|7474603904|74909199999|9999993904|99999913905|A0000253928,Brazos County
IA,19113,7202934989|72029399999|7203264981|72032699999|72545014990|72546214937|72546299999|7254754953|72547599999|7254884955|72548899999|99999914937,Linn County
MO,29099,720169116|72048999999|72434013994|7243453966|72434753904|72434799999|72445493996|72445499999|99999913994|99999993910|99999993996,Jefferson County
WA,53073,69032099999|72027294282|72027299999|72796599999|72797624217|74200699999|74918599999|99401399999|99800799999|9999994223,Whatcom County
ID,16027,720734264|72680999999|72681024131|72681394195|72681399999|9999994127|99999924131,Canyon County
CA,6007,72483793216|72483799999|72483893205|72483899999|72497099999|72497199999|72497393203|72497399999|72591024216|74500099999|74504893210|74504899999|749486397|99999923238|99999924216|99999993216,Butte County
TX,48209,720542166|72054299999|720639225|720648230|72073399999|72241612971|72253012921|72253612911|72253699999|72253912979|72253999999|72254013904|72254013958|7225423999|72254299999|72254413958|72254513904|72254599999|72254612910|72254753942|72254799999|74901899999|74905699999|999999477|99999912910|99999912911|99999913904|99999913958|99999923907,Hays County
NC,37071,72027763843|72027799999|72212853899|72212899999|72213263801|72213299999|7230103810|72305563816|72305599999|72314013881|72314453890|72314499999|7231453810|72314753870|72314799999|72314863859|72314899999|72315663812|72315699999|72319453872|72319499999|9999993810|99999913881,Gaston County
SC,45015,720598191|720604196|720606198|72060699999|720609201|72060999999|720632218|72208013880|72208399999|72208613758|72208699999|72208899999|723107371|72310799999|74791699999|747917390|74791799999|747918391|74909099999|99423099999|99717499999|99738899999|99770999999|99798199999|99800599999|99818799999|9999993728|99999913758|99999913782|99999913880,Berkeley County
OR,41029,72597024225|72597524235|74020499999|99999924225|99999924235|99999924236,Jackson County
CA,6113,72026723224|72026799999|720576174|72057699999|720614205|72093599999|72482893241|72482899999|72483023232|72483323206|72483399999|72483523206|72483623208|72483699999|72483793216|72483799999|72483893205|72483899999|72483993225|72483999999|72493623254|72493999999|72495023250|72495023254|72495593227|72495599999|72495899999|74500099999|74516023202|74516099999|74516599999|99403499999|99801199999|99847499999|99847599999|99847899999|99999923202|99999923232|99999923238|99999923246|99999923254|99999923271|99999993216|A07049320,Yolo County
AL,1003,72038163885|720592186|72059299999|72222099999|72223013894|72223513838|72223599999|72223699999|99442099999|99774299999|99778499999|99801699999|99819299999|99819699999|99843999999|99844099999|99848599999|99849199999|99999913894|99999963869|99999963899|99999993826,Baldwin County
NM,35013,69001499999|69633499999|72096399999|72269099999|72269593041|72269599999|72269799999|72364099999|74733099999|74734099999|74947599999|9999993053|9999993074|99999993041|A000143053,Doña Ana County
AL,1117,72026563833|72026599999|72050499999|72050799999|72050899999|72228013876|7222903881|72229099999|72230053864|72230099999|72637899999|9999993881|9999993883|99999913876|99999963891|99999973803,Shelby County
FL,12019,69180499999|72039999999|720946326|72206013889|72206593837|7220663853|72206763823|72206793832|72206799999|72206853860|72206899999|72214612816|72221292814|72221299999|74756012816|74782053860|749048415|74904899999|99415099999|99441099999|99735899999|99800099999|9999993853|99999913889|99999953894|99999963890|99999993832|99999993837|A0002363890,Clay County
MA,25001,72225664774|72505599999|72505799999|72506014704|72506014756|72506114704|72506114756|72506314756|72506399999|72506454769|72506499999|72506594726|72506599999|72506694724|72506699999|72506794720|72506799999|72506854777|72506899999|72506994624|72506999999|72507364708|72507399999|72507799999|72509499999|72509714790|72606799999|72606899999|72606999999|74494099999|99208099999|99242099999|99404699999|99414099999|99727399999|99727499999|99727999999|99801499999|99999914790,Barnstable County
AZ,4027,6903103125|69645499999|69646499999|69756499999|6996043145|72280023195|72280099999|72280199999|7228053145|7400353145|74901099999|9999993125|99999923195|99999953154,Yuma County
NC,37025,72103899999|72207953888|72207999999|72212853899|72212899999|72213263801|72213299999|72214863824|72214899999|72305563816|72305599999|72314013881|72314753870|72314799999|72315663812|72315699999|72319453872|72319499999|725294383|72529499999|74693499999|7469353709|74693599999|99999913881,Cabarrus County
AZ,4015,72370093167|72370099999|72378699999,Mohave County
PA,42069,72513014777|72513514754|72543454789|72543499999|99999914754|99999914760|99999914777,Lackawanna County
NY,36063,72528014733|72528599999|7252874724|72528799999|72528899999|99551099999|99725499999|99798999999|99816899999|99823599999|99826699999|99999914733,Niagara County
IL,17019,72207694891|72207699999|72217263810|72217299999|7221944896|72219499999|72439754831|72439799999|72531014806|72531099999|72531594870|72531599999|7253163887|72531699999|72531753802|72531799999|99999954808,Champaign County
AL,1125,720505156|72050799999|72228013876|72228693806|72228699999|7222903881|72229099999|72230053864|72230099999|72637899999|9999993881|9999993883|99999913876|99999963892|99999963893|99999973801|99999993806,Tuscaloosa County
FL,12091,69009099999|69052499999|69275499999|69276499999|69325499999|72038353847|72206953853|72206999999|72221013858|72221099999|72221513884|72222099999|72222313899|7222253855|72222693841|7222273815|72222899999|7222463844|72224699999|7477703852|74777099999|74778099999|74901299999|74901399999|74901499999|99404799999|9999993815|9999993840|9999993855|9999993876|99999913884|99999913899|99999953848|99999993828|99999993829|99999993841|A0002453848,Okaloosa County
PA,42125,7251174827|72511799999|72512464705|72512499999|72520094823|7252044813|72520499999|72520514762|72520599999|72520699999|72520754735|72520799999|74906799999|99999914762|A0003093795,Washington County
MS,28047,72097599999|72213813835|72213863852|72213899999|72223799999|72234999999|74757093874|74768199999|74768593874|74768599999|74768613820|74768699999|74768853858|74768899999|99212099999|99736799999|99817199999|99820199999|99820299999|99821999999|99823199999|99823399999|99823499999|99823899999|99823999999,Harrison County
ME,23031,72507699999|72509699999|72603799999|72605899999|72606014764|72606464709|72606499999|72606599999|72606699999|72608799999|72615699999|72618354772|72618399999|72618494709|72618499999|74392014611|74392799999|99278099999|99427099999|99715099999|99716099999|99727599999|99770799999|99801599999|99999914611|99999914764|99999914784,York County
OH,39025,72224963887|72427653859|72427699999|72429613841|72429699999|72429793812|72521753855|72521799999|999999458,Clermont County
OH,39041,720414139|72041499999|720651232|720928315|720944324|72420014891|72428014821|72428463825|72428499999|72428513812|72428599999|7242884804|72428899999|72429453844|72429499999|7252084855|72520899999|7252294858|72522999999|72524614891|99999913812|99999914821|99999914891|99999993834,Delaware County
IN,18039,72026654809|72026699999|720543167|72054399999|720593187|72059399999|720736265|721029347|72438814829|72438899999|72535014848|7253544806|72535499999|99999914829|99999914848,Elkhart County
TN,47125,7220723894|72207299999|72327013897|72327199999|72327599999|7232803894|74672099999|99999913897,Montgomery County
NC,37101,69132499999|7220733727|72207399999|7221313713|72213199999|7221413731|72214199999|7222013723|72220199999|72303013714|72303099999|72303593740|72303599999|72304499999|72306013722|72306613713|72306699999|72306793726|72306799999|72306893759|72306899999|7469293702|74692999999|74693093737|74693099999|7469363712|74693699999|74693993785|74693999999|7469403708|74694099999|99999913713|99999913746|99999993726|99999993737,Johnston County
LA,22019,722248359|72229399999|72229499999|7223343976|72233499999|72233999999|7224003937|72240413941|72240499999|72240799999|72525799999|74909899999|99225099999|99733799999|99826499999|999999423|9999993937|99999912989|99999913941|A0002253995,Calcasieu Parish
GA,13245,72028963836|72028999999|7221803820|72218113837|72218199999|74908199999|99820599999|9999993820,Richmond County
GA,13139,72040999999|72089799999|722109355|72210999999|72218553838|72218599999|72219653863|72219699999|72227013864|72227099999|72227399999|72311013873|725258382|74780863803|74780899999|7478093832|74780999999|74781263813|74781299999|749483394|74948399999|99999913864|99999913873|99999963850|99999993830|A0001163848,Hall County
HI,15001,74915499999|91197521510|91197599999|91197699999|91197721508|91197799999|91197899999|91199099999|91281099999|91283099999|91283499999|91284099999|91285021504|91285321504|91287099999|91289099999|91291099999|91293099999|91294099999|91294499999|99717399999|99819199999|99999921503|99999921504|99999921514|99999921515,Hawaii County
WA,53005,72056299999|72784094187|72784099999|72784524163|72784599999|72788499999|99999924163,Benton County
SC,45007,720597190|720744271|72074499999|72311853850|72311899999|72311913886|72311999999|7231203870|72312263889|72312299999|72312453874|72312499999|72312593846|72312693804|72312699999|72319093846|9999993870|99999913822|99999993804|99999993846,Anderson County
MN,27137,7265444958|72654499999|72654954905|72654999999|72744699999|72745594931|72745994964|72745999999|72747394977|72747399999|7274744923|72747499999|99999994931,St. Louis County
OH,39155,72430314813|72430399999|72521014895|7252444809|72524499999|7252454853|72524599999|7252474805|72524799999|72525014852|725253380|72525399999|72525599999|7252564857|72525699999|99769299999|99799999999|99816699999|99828199999|99999914813|99999914823|99999914843|99999914852|99999914895|99999914896,Trumbull County
NC,37133,69832499999|72301113748|72301313748|72301699999|72302013748|72302099999|72303793765|72303799999|72305099999|72306793726|72306799999|72306993753|72306999999|72309013754|72309499999|72309593719|72309693727|72309793743|7469293702|74692999999|74906999999|99497599999|99743399999|99769599999|99800699999|99999913748|99999913754|99999993719|99999993726|99999993727|99999993743|99999993776,Onslow County
IL,17167,72297263878|72297299999|72439093822|7253163887|72531699999|74466263817|74466299999|74466653944|74466699999|7446724862|74467299999|99999993822,Sangamon County
WI,55101,7220594866|72205999999|72640014839|72640399999|72640594869|72640599999|72640699999|72640799999|7264094897|72640999999|7264134875|72641399999|72642494818|72642499999|72646454834|72646499999|7265054845|72650599999|99299099999|99734099999|99734299999|99773699999|99999914839|99999994869,Racine County
GA,13215,720948328|72095999999|72218499999|72225013829|72225099999|72225593842|74780663809|74780699999|7478073821|74780799999|74901199999|9999993874|99999913829|99999993842,Muscogee County
IN,18157,720575173|72057599999|720961336|72438499999|72438614835|72438754807|72438799999|72533499999|72533594833|72533599999|744660388|99999914835,Tippecanoe County
NY,36007,7251504725|72515594761|72515599999|9999994725|99999914738|99999964758,Broome County
OR,41017,720638224|72683524230|72688799999|72692024230|99999924230,Deschutes County
SD,46099,71168099999|720624211|72651014944|72651594902|72651599999|9999994990|99999914944,Minnehaha County
MI,26145,720629216|720902298|72090299999|72200754828|7221254829|72212599999|72234654824|72234699999|7253784887|72537899999|72539014836|72539799999|72540554816|72540599999|7254244885|72542499999|72637014826|72637799999|72637914845|99824299999|99999914826|99999914828|99999914836|99999914845,Saginaw County
MI,26093,72011354829|72011399999|7202844877|72028499999|720902298|72090299999|72234654824|72234699999|72537094847|72537494889|72537514822|72537614853|72537699999|7253784887|72537899999|72539014836|72539514833|72539799999|72541754822|72541799999|72632099999|72637014826|72637594817|72637599999|99999914822|99999914826|99999914833|99999914836|99999914853|99999994847,Livingston County
FL,12053,72037392824|72037492825|720655235|721042486|72201292817|72201299999|72201412818|72201499999|72202192816|72202199999|72205512861|72205599999|72206499999|72211012842|72211612873|72211699999|72211912883|72211999999|72221312819|72221399999|724737377|72474299999|74788012810|74788099999|74904999999|74905099999|74905199999|74905499999|99400899999|99400999999|99408299999|99408599999|99474099999|99721199999|99734599999|99735799999|99770599999|99779199999|99824199999|99824499999|99826999999|99999912810|99999912842|99999992802,Hernando County
CA,6017,72026723224|72026799999|720614205|720645227|72068199999|72483323206|72483399999|72483523206|72483623208|72483699999|72584523225|72584693201|72584699999|72584793230|72584799999|74500099999|749486397|99999923225|99999923226,El Dorado County
SC,45013,72012063837|72012099999|720606198|72060699999|720609201|72060999999|720612203|72208593831|74909099999|99247099999|99438099999|99699099999|99700099999|99737799999|99768699999|99798199999|99799099999|99999993831|99999993844,Beaufort County
PA,42019,720378122|72037899999|72512464705|72512499999|72517564706|72517599999|72520094823|7252044813|72520499999|72520514762|72520599999|72520699999|72526794868|72526799999|99999914741|99999914762|99999914812|99999994868,Butler County
TN,47165,72327013897|72327199999|72327313827|72327399999|74908399999|99999913897,Sumner County
WI,55087,72034354852|72034399999|72039899999|720589185|72058999999|72645014898|72645499999|72645594897|72645599999|72645694855|72645699999|7264574825|72645799999|72650254832|72650299999|7265064840|72650699999|99406299999|99497699999|99774199999|99999914831|99999914898|A07056464|A07354132,Outagamie County
FL,12015,72203412812|72203499999|72210599999|72210612835|72210812894|72210899999|722118482|72211899999|72474199999|74904699999|99400699999|99422099999|99734699999|99999912835|99999992827,Charlotte County
NE,31153,7203084992|72030899999|720405436|72040599999|720942323|722291470|72229199999|72550014942|72551014939|72552794978|72552799999|72553094918|72553099999|72553214942|72554014949|72554099999|7255414993|72554199999|7255644924|72556499999|72558099999|99999914904|99999914939|99999914942|99999994995|99999994996,Sarpy County
MS,28033,72054153806|72054199999|72058899999|720927314|72216513815|72216563808|72216599999|72236423903|72330599999|99999923803,DeSoto County
IN,18163,72432093817|72432599999|72436553896|72436599999|99999993817,Vanderburgh County
CT,9005,720545169|72054599999|72502754788|72502799999|72502964707|72502999999|72504094702|72504514758|72504599999|72504899999|72508014740|72508654734|72508699999|72508714752|72508799999|72508999999|99489099999|99491099999|99492099999|99495099999|99728499999|99729099999|99999914740|99999914752|99999914758|99999994702|99999994772,Litchfield County
IL,17143,7201414868|72014199999|72208994959|72208999999|72439754831|72439799999|72532014842|72532399999|72532514816|72532599999|7446724862|74467299999|99999914816|99999914842|A000174868,Peoria County
WV,54039,7241203872|72414013866|9999993872|99999913866,Kanawha County
CA,6025,69058499999|69141499999|72281023199|7471853144|74718599999|74916699999|74947699999|74947799999|99999923199|99999993118,Imperial County
FL,12005,72073573805|72073599999|720964338|72224099999|7222453882|72224599999|74775013846|74775099999|74775699999|7477603818|74776199999|74778099999|74908799999|99436099999|99735299999|99819999999|9999993818|99999963871|99999973805,Bay County
NC,37147,720864290|72093699999|72306513783|72306599999|72306613713|72306699999|72306793726|72306799999|72306893759|72306899999|72307993796|72309593719|7469253741|74692599999|7469403708|74694099999|99999913713|99999913746|99999993719|99999993726,Pitt County
ND,38017,720911301|72753014914|72757799999|99999914914,Cass County
MO,29019,72048299999|72048399999|72048499999|720869295|7244503945|7244583963|72445899999|9999993945|99999913983|99999913991|99999913992,Boone County
FL,12113,69009099999|69052499999|69275499999|69276499999|69325499999|72038353847|72206953853|72206999999|72221013858|72221099999|72221513884|72222099999|72222313899|7222253855|72222693841|7222273815|72222899999|7222463844|72224699999|7477703852|74777099999|74778099999|74901299999|74901399999|74901499999|99404799999|9999993815|9999993840|9999993855|9999993876|99999913884|99999913899|99999953848|99999993828|99999993829|99999993841|A0002453848,Santa Rosa County
VA,51700,7202853734|72028599999|7202973730|72029799999|720499154|72307513769|72307699999|72307799999|72308013737|72308313763|72308399999|72308513750|72308693741|72308699999|72308793735|72308799999|72308899999|7240063701|72400699999|7240073719|72400799999|72401993773|72401999999|72402599999|72402899999|72517213762|74598013702|74598099999|99235099999|99371199999|99402099999|99729999999|99730599999|99730899999|99731599999|99737199999|99769199999|99769399999|99770899999|99778299999|99778399999|99778699999|99785299999|99801799999|99824599999|9999993739|99999913737|99999913742|99999913750|99999913759|99999913762|99999913763|99999913769|99999993731|99999993735,Newport News City
TX,48139,72029153970|72029199999|72029553972|72029599999|72029953966|72029999999|72032053981|72032099999|721044448|72209453984|72209499999|72210299999|72214353975|72214399999|72246953912|72246999999|72247953907|72247999999|72248953911|72248999999|72258013960|72258113960|72258313960|72258593901|7225903927|7225933985|72259399999|72259513911|72259613961|7225983970|72259899999|7225993971|72259999999|74739013961|9999993927|99999913907|99999993901|99999993904,Ellis County
CA,6089,720193117|72102799999|72591024216|72591524257|72592024257|72595624212|72595699999|72595724215|72595799999|9999994222|99999924212|99999924215|99999924216|A07053346,Shasta County
DE,10001,72404699999|72408399999|72408813707|72408899999|72408913781|72409313764|72409399999|72418013781|99440099999|99721099999|99727699999|99728199999|99730099999|99731299999|99737299999|99768999999|99769499999|99785399999|99815499999|99816999999|99999913781,Kent County
OH,39103,72420014891|72430314813|72430399999|72521014895|7252144849|72521499999|72521599999|7252164842|72521699999|72524014820|72524399999|7252444809|72524499999|7252454853|72524599999|72524614891|7252474805|72524799999|72524899999|725253380|72525399999|74471499999|99224099999|99280099999|99769299999|99800199999|99817999999|99999914813|99999914820|99999914891|99999914895|99999914896|99999954856,Medina County
NC,37097,72207953888|72207999999|72212853899|72212899999|72213263801|72213299999|72214863824|72214899999|7230103810|72305563816|72305599999|72314013881|7231453810|72314753870|72314799999|72314863859|72314899999|72315663812|72315699999|72316563821|72316599999|72317763807|72317799999|72319193807|72319393807|72319399999|9999993810|99999913881|99999993807,Iredell County
NY,36111,7250154789|72501599999|72503614757|72503699999|72503814714|72503899999|72514554746|72514599999|72519899999|99799199999|99999914757|99999914797|99999964756,Ulster County
KS,20177,72447593909|72447599999|7245083997|72450899999|72455599999|72456013996|72456513920|72456599999|99999913920|99999913990|99999913996|99999953974|99999993909,Shawnee County
