State,County_FIPS,Average_Distance_to_Stations_(miles),Station_Identifiers_(USAF_WBAN),Nearest_Station,Nearest_Station_Distance,County_Name
PA,42101,24.007755139264297,72030464752|72030499999|72032464753|72032499999|720408136|72040899999|72408013739|72408594732|72408599999|72408614793|72510954782|72510999999|72511354786|72511399999|72517014737|72517199999|99728699999|99730099999|99737299999|99768799999|99769899999|99800299999|99826599999|99834299999|9999993761|99999913739|99999913771|99999914737|99999914793|99999994732,998342-99999,4.831871339792633,Philadelphia County
CA,6067,32.537997851923365,72026723224|72026799999|720576174|72057699999|720614205|720645227|72068199999|72482893241|72482899999|72483023232|72483323206|72483399999|72483523206|72483623208|72483699999|72483793216|72483799999|72483893205|72483899999|72483993225|72483999999|72492023237|72493623254|72495023254|72495899999|74500099999|74516023202|74516099999|74516599999|99403499999|99801199999|99847899999|99999923202|99999923232|99999923237|99999923254|99999923271|99999993216,724833-99999,7.7284527575179185,Sacramento County
FL,12099,36.36553155783575,72202212803|72202299999|72202512849|72203012844|72203599999|72203699999|72203792809|72203799999|72203912885|72203999999|72204899999|72204992805|72204999999|72218992815|72218999999|722261360|72226199999|74783012849|74904499999|99405099999|99417099999|99830599999|99999912844|99999912849,722030-12844,22.815648341612164,Palm Beach County
NY,36103,28.148412223458607,72209864761|72209899999|72501099999|72501654790|72501699999|72502699999|72502899999|72503499999|7250354781|72503794745|72503999999|7250504781|74485999999|74486454787|74486499999|74486514719|74486599999|74497599999|74910599999|99446099999|99493099999|99494099999|99496099999|99497099999|99633099999|99642099999|99718599999|99718699999|99728099999|99728299999|99728499999|99729099999|99743999999|99999914708|99999994745,725010-99999,1.3119661590603109,Suffolk County
FL,12057,23.865152008214668,72037392824|72037492825|721042486|72201412818|72201499999|72201712876|72201799999|72202192816|72202199999|72206499999|72210099999|72210492806|72210499999|72211012842|72211512871|72211599999|72211612873|72211699999|72211799999|72211912883|72211999999|72212312809|72212399999|72474299999|74788012810|74788099999|74793112876|74904999999|99400899999|99400999999|99408299999|99408599999|99487099999|99488099999|99721199999|99734599999|99735399999|99735799999|99770199999|99770599999|99779199999|99821299999|99821399999|99822899999|99824199999|99824499999|99826999999|99999912810|99999912842|99999992802,722021-92816,6.23612118773314,Hillsborough County
NY,36005,23.844625724519037,72055399999|72409899999|72501599999|72502699999|72502899999|72503014732|72503394728|7250354781|72503794745|72503814714|72503899999|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99718699999|99727199999|99727299999|99728099999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,725030-14732,4.95306708971837,Bronx County
FL,12095,35.64305331318291,720904299|72201192813|72201199999|72201292817|72201299999|72201712876|72201799999|72204099999|72204612898|72204699999|72205012815|72205312841|72205399999|72205612834|72205712854|72205799999|72205899999|72212312809|72212399999|72221312819|72221399999|72236192808|72236199999|74787012834|74793112876|74794012868|74794099999|74794599999|74794612886|74794699999|74795012867|74795099999|74904799999|74905099999|74905499999|99735499999|99780699999|99999912815|99999912834|99999912841|99999912846|99999912847|99999912854|99999912889|99999992821,999999-12841,2.1849929005490134,Orange County
NY,36059,23.02233082898397,72055399999|72408799999|72409899999|72501099999|72501654790|72501699999|72502699999|72502899999|72503014732|72503394728|72503499999|7250354781|72503794745|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99642099999|99718699999|99727199999|99727299999|99728099999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,749105-99999,0.7086362011186957,Nassau County
OH,39049,24.28734314845775,720414139|72041499999|720651232|720928315|72428014821|72428463825|72428499999|72428513812|72428599999|7242884804|72428899999|72429453844|72429499999|7242953867|72429563888|72429599999|7252084855|72520899999|7252294858|72522999999|9999993867|99999913812|99999914821|99999993834,999999-93834,6.768351712501395,Franklin County
MI,26125,30.095719047109178,69011099999|72011354829|72011399999|720902298|72090299999|72234654824|72234699999|72537094847|72537354819|72537399999|72537494889|72537514822|72537614853|72537699999|72537714804|72537799999|7253784887|72537899999|7253844888|72538499999|72538599999|72541854823|72632099999|72637014826|72637594817|72637599999|99477099999|99799699999|99849299999|99999914804|99999914822|99999914826|99999914853|99999914856|99999994847,726375-94817,1.2456796593729342,Oakland County
MN,27053,28.766525586196533,72058399999|72200354930|72200399999|72211454901|72211499999|7221444945|72214499999|72655014926|7265624943|72656299999|72656394969|72656399999|7265694933|72656999999|72657399999|72657594960|72657599999|72657794974|72657799999|72657994963|72657999999|72658014922|72658414927|72658499999|7266034974|72660399999|72668254914|72668299999|7275034909|72750399999|7275174932|72751799999|99999914922|99999914926|99999914927|99999914947,726575-99999,7.213611905230978,Hennepin County
TX,48453,24.467340078711715,720542166|72054299999|720639225|720648230|72211353979|72211399999|72241612971|72253912979|72253999999|72254013904|72254013958|7225423999|72254299999|72254413958|72254513904|72254599999|72254612910|72254753942|72254799999|74905699999|99999912910|99999913904|99999913958|99999923907,722540-13958,1.6062124195947483,Travis County
OH,39035,26.930300245627958,72430314813|72430399999|72521014895|7252144849|72521499999|72521599999|7252164842|72521699999|72524014820|72524399999|7252444809|72524499999|7252454853|72524599999|7252474805|72524799999|72524899999|725253380|72525399999|74471499999|99224099999|99280099999|99769299999|99799999999|99800199999|99817999999|99828199999|99999914813|99999914820|99999914843|99999914895|99999914896|99999954856,725243-99999,4.585821614433308,Cuyahoga County
PA,42003,28.45904549794353,720378122|72037899999|7251174827|72511799999|72512464705|72512499999|72517564706|72517599999|72520094823|7252044813|72520499999|72520514762|72520599999|72520699999|72520754735|72520799999|74906799999|99999914762|A0003093795,999999-14762,8.450038001618804,Allegheny County
